row,p_coef,i_coef,p_star,difference
269,0.0,2.0,10,0.2114084269234277
271,1.0,0.5,15,3.094335084905544
272,0.4,0.3,25,17.578039009674217
273,0.0,4.0,20,0.3523237754142663
274,0.8,0.2,25,1.8977400938993751
275,0.4,0.2,15,2.251212051917986
276,2.0,9.0,15,0.6327285273293111
277,0.8,0.3,35,26.92218387628423
278,0.0,1.0,15,0.4220806063417193
279,0.8,0.9,35,1.2694160901824283
280,0.0,2.0,15,0.5627720980864703
285,2.0,4.0,20,3.02122421494197
286,2.0,4.0,25,2.600207530109552
289,0.0,2.0,30,0.844377523788939
290,1.0,0.5,35,0.8463207976928544
291,0.0,4.0,30,0.8446884322642294
292,0.0,4.0,20,1.9684105702688437
293,0.0,2.0,10,0.1414789615465856
294,1.0,0.5,20,0.3530027966551392
295,2.0,4.0,15,0.773549453199843
296,0.0,4.0,30,0.6330800034790824
297,0.3,0.7,15,5.837058295998967
298,0.7,0.3,30,3.863361869258747
299,1.0,3.0,30,0.9834825306863912
300,0.6,0.7,10,1.5477937061677398
301,0.0,10.0,30,4.497741285836433
303,0.9,10.0,30,1.195945113315334
306,0.5,0.1,15,1.82876900007622
307,0.5,0.6,20,2.950986553575168
308,0.0,1.0,35,1.4754417999663714
309,0.0,1.0,25,4.149358458906708
310,0.0,2.0,25,1.337133726584665
311,0.0,4.0,25,1.0552642436902593
312,2.0,4.0,10,0.071195065428621
313,0.0,3.0,30,0.7048742893001814
314,3.0,0.4,20,2.3224346644733123
316,0.0,4.0,15,0.4224226915951696
317,0.0,2.0,25,0.2817807147435225
318,1.0,3.0,15,0.4224646864833596
319,0.0,1.0,10,0.2111140784997145
320,2.0,4.0,30,2.4606605916348894
322,0.3,0.9,30,1.4085011989804412
323,0.7,0.1,20,7.806088492431341
326,5.0,7.0,15,0.001143326013878
327,0.0,3.0,20,0.7748681607409047
328,3.0,4.0,10,0.4929308718679417
329,0.0,4.0,35,1.4084657203131936
330,0.9,0.9,15,2.9517908453383708
333,1.0,0.1,25,0.7739589318674698
334,0.4,0.7,30,4.778738016159594
335,0.5,6.0,35,1.2672618034302143
336,1.0,6.0,15,1.9679201399884263
337,1.0,0.5,25,0.8427072526322323
338,0.4,8.0,20,2.0400598601336544
339,0.0,1.0,15,0.8445907915280828
340,1.0,3.0,10,8.366608978987966
341,0.0,2.0,25,0.7733154653461654
342,0.5,0.5,30,4.567585935721923
343,0.0,2.0,10,0.772925466856897
344,0.0,0.1,20,1.89773121005301
345,0.0,2.0,10,0.9845350012359813
346,6.0,2.0,10,0.2817887422254026
348,2.0,4.0,10,0.4217356137638441
349,1.0,0.5,15,0.5624913989226981
350,0.6,5.0,35,0.566167546189555
351,0.0,2.0,35,1.4061888123416455
352,2.0,4.0,30,1.1970539026458755
355,0.0,1.0,30,1.2669975681324637
356,0.0,2.0,15,0.6333487444379857
357,0.0,5.0,10,2.600227590234131
358,2.0,4.0,20,1.0557378902096266
359,0.0,2.0,35,1.5465129658802752
360,1.0,0.5,25,0.001698540574293
362,4.0,0.5,15,0.2819656184636958
363,6.0,0.4,30,1.7603066017944116
364,0.5,0.1,20,1.9701028092287
366,6.0,0.4,35,4.71345633710726
367,0.0,1.0,20,0.6334469764244206
368,1.0,0.5,10,0.563285428782005
369,0.7,7.0,30,1.1281466963805018
370,0.5,3.0,30,4.356168348857255
371,0.8,4.0,10,0.6338206784294202
372,2.0,4.0,15,0.8426816923124019
373,0.6,5.0,15,1.2650616853510297
374,0.0,4.0,30,0.6337238790550233
375,2.0,7.0,20,0.7036256078279886
378,1.0,3.0,15,0.8436098162022301
379,1.0,0.5,20,1.1961629720298
381,0.0,2.0,35,0.6333401043122588
382,0.0,1.0,15,1.0553476626179252
383,0.3,0.1,20,5.204263451625108
385,1.0,0.5,25,2.2493504859432134
386,1.0,0.5,25,0.8432556689656767
391,0.1,0.4,30,18.421632311081225
392,0.0,2.0,25,0.984223072634104
393,1.0,0.7,35,1.2646180536210077
396,1.0,0.5,15,0.3518204249397287
397,0.1,0.4,15,4.079093566597498
398,0.9,0.1,10,1.6884795597124898
399,2.0,4.0,10,0.35248045713666
400,0.0,1.0,10,0.6326233153172378
401,0.3,0.7,25,3.3769885609943966
402,0.0,3.0,20,0.5638455797265429
403,8.0,0.2,15,2.0405112083651744
404,6.0,10.0,10,0.8432360978118787
405,2.0,4.0,30,1.3366623836482106
406,0.0,4.0,10,1.969324697790389
407,0.9,0.7,35,2.391670559160149
408,1.0,0.5,25,6.819500816187013
409,1.0,3.0,30,0.4241366339304733
410,1.0,0.2,15,4.430785344798073
411,1.0,0.5,20,1.40714826732677
412,3.0,10.0,30,1.0564494443189716
413,0.2,0.2,25,22.283610228070955
415,7.0,0.1,10,0.28195101843313
416,0.0,1.0,30,0.7027563028351729
418,3.0,6.0,25,1.6879488286385378
419,0.7,0.7,10,9.630012712790291
420,2.0,4.0,15,2.0403250265023383
421,1.0,3.0,35,0.9133288885523844
422,0.0,2.0,15,3.726914543382046
424,0.0,4.0,20,1.265558979277967
425,0.5,9.0,35,1.3399771325723462
426,0.1,6.0,30,1.197258250032248
428,4.0,5.0,35,4.004016062563107
429,0.0,2.0,35,0.9852982014983488
430,0.0,2.0,25,0.352370994048945
431,2.0,7.0,30,2.252265436567249
432,0.0,4.0,30,3.868884987899396
433,0.7,0.3,20,2.950880232581436
434,0.0,1.0,30,1.3367306262123837
435,10.0,8.0,15,0.7044316741079788
436,0.3,0.4,35,5.691571241752348
437,0.4,0.6,25,1.267050823389309
439,0.7,0.5,15,1.478269333796102
440,1.0,0.5,35,1.2656460748007792
441,0.0,1.0,35,0.6358767621080563
442,0.0,4.0,30,1.1947645035097496
443,1.0,0.5,10,0.0713807636035994
444,0.0,2.0,20,0.9150380674001166
445,1.0,0.5,35,0.6353219184087608
446,0.9,5.0,35,2.3174494750053407
447,0.0,1.0,15,0.7043281403545336
448,1.0,3.0,25,0.774134924375133
449,0.0,0.7,10,0.8444336318583066
450,0.7,0.2,15,0.0016901025696158
451,0.7,0.5,20,1.6158463233131393
452,0.0,4.0,10,0.2817565819116892
453,0.0,2.0,35,1.124302896572808
456,0.0,2.0,25,0.914275734366786
457,0.0,1.0,35,1.1240847887813894
458,1.0,3.0,35,0.9855456512190806
461,1.0,3.0,20,0.3524823151951413
462,0.8,3.0,10,2.4597797554979586
463,0.0,4.0,25,0.4921978299508964
465,2.0,4.0,20,1.6184966972105783
466,10.0,10.0,30,0.2110966964323886
467,2.0,10.0,15,1.12568606302076
468,2.0,4.0,25,1.0534908804894574
469,0.0,2.0,20,1.3366259269234106
471,0.7,0.4,10,3.9356347976928183
472,1.0,0.5,30,0.8425225017243037
473,1.0,3.0,25,1.055209032074888
476,0.0,3.0,15,0.4936605936582738
477,0.0,4.0,35,4.004335745780789
478,0.8,0.5,20,19.89305019814148
479,0.6,1.0,25,3.3023845763390387
480,0.0,5.0,30,0.9844662004607408
481,0.6,0.7,10,1.1950301007110982
482,1.0,3.0,35,1.335578300088521
483,0.3,3.0,25,1.0569771042267773
484,1.0,0.5,15,1.1963952817040855
485,2.0,4.0,30,2.880601872969784
486,0.3,0.9,10,2.813170918268362
488,0.0,2.0,10,0.3518978730124864
489,0.8,4.0,10,3.024610338080868
490,0.1,0.5,30,4.219861659074646
492,0.0,1.0,15,0.9146801567125048
493,7.0,0.2,10,0.0002366660328938
494,0.0,4.0,10,0.3521895050507631
495,0.6,10.0,15,1.4080218343454654
497,0.0,4.0,15,1.0544985922727204
498,0.7,0.5,25,1.545194656376908
499,0.7,7.0,30,1.0557741177526043
500,0.0,0.8,35,8.434690681930213
501,5.0,0.9,20,1.264822610263339
502,2.0,4.0,10,1.406845106265374
504,0.0,4.0,15,1.124770355662731
506,0.0,4.0,30,0.2828275615100493
507,0.5,0.7,35,4.145527296865798
508,2.0,4.0,10,0.4227625532547057
509,4.0,0.6,20,0.703941096407954
510,0.2,0.8,10,0.6340152985716339
511,0.0,1.0,15,1.0551422624865705
512,2.0,4.0,15,0.1420562309487785
513,3.0,0.8,15,3.302757043458242
515,0.0,3.0,20,0.3529134248787002
516,0.0,3.0,25,0.563342867336023
517,1.0,0.5,30,1.5494159145480273
518,0.3,7.0,20,0.9142438321482116
519,0.5,5.0,15,0.7036295388195404
520,0.0,2.0,35,0.7747158355662931
521,0.0,0.4,30,2.4609245924620438
522,0.4,10.0,35,0.8478503017334562
523,0.0,1.0,30,0.6328109718923853
524,2.0,0.6,20,0.9150942770470154
526,0.2,3.0,10,5.06301148881491
527,0.7,8.0,20,0.6340865444807458
528,0.0,2.0,20,1.0549502532578383
529,3.0,5.0,35,2.1109328074892417
530,0.7,3.0,10,0.1415610660877959
532,0.5,0.9,15,19.6126176202979
533,0.5,2.0,25,0.3542551364176551
534,0.7,0.5,15,0.9155963803766872
535,7.0,6.0,25,2.1114896639910867
536,2.0,4.0,25,2.321240748970081
537,2.0,2.0,30,1.8308015781426537
538,0.0,1.0,35,1.3348626749717027
539,0.0,4.0,15,0.4219543904843394
541,3.0,2.0,20,1.2652768310800857
542,1.0,3.0,35,0.3534741504563587
543,6.0,0.4,20,0.9861046913357948
544,0.0,1.0,35,1.6196898417004295
545,5.0,3.0,20,1.5461839371319055
546,5.0,5.0,10,0.2820601886195986
547,0.0,2.0,20,0.4928306162144933
548,0.1,10.0,30,1.6159653210547678
551,1.0,0.5,35,1.475954181432539
555,1.0,0.5,35,0.8461519813227012
556,0.5,0.2,30,5.34586364320814
557,0.0,1.0,15,0.5636663034515319
558,3.0,0.4,30,4.080930008209386
560,4.0,0.9,25,2.1766843822597064
562,0.0,1.0,35,2.111164068086822
563,0.0,1.0,15,0.7740173396251837
564,2.0,4.0,10,0.4216473837397547
565,1.0,0.5,30,0.9834607922605444
566,0.0,1.0,25,1.476943131385188
567,1.0,0.5,25,1.126959528369838
568,0.3,7.0,20,0.6335695267036154
569,0.9,0.8,25,0.1436601921903744
571,0.0,2.0,35,3.795133038972195
573,1.0,3.0,25,2.531981961854893
574,0.6,10.0,30,3.5167726671956405
575,0.5,8.0,10,0.4235267937284011
576,1.0,0.5,10,0.3524979917904067
577,4.0,0.6,35,0.7748438586687438
578,0.0,4.0,35,2.5325666530349986
579,0.0,4.0,15,0.7032771461683858
580,0.0,4.0,30,1.548143940290485
581,0.6,0.8,25,0.5647214339424869
583,0.2,0.9,15,1.8268588189764152
584,0.9,0.8,15,4.005656700308322
585,0.0,2.0,25,0.84413815771968
586,4.0,3.0,10,1.126004186376516
587,0.0,4.0,20,0.2121092592547047
588,0.8,6.0,20,1.338393682763141
589,0.0,8.0,35,0.9151341828059358
590,3.0,0.1,25,3.9397407950986416
591,0.4,2.0,15,17.222194120715987
594,0.0,1.0,30,1.7591972181311042
595,0.2,10.0,15,0.7046070904415451
597,2.0,4.0,30,1.1264132465742431
599,0.7,3.0,20,3.7982701248817614
600,6.0,7.0,35,6.753056966948304
603,0.0,4.0,20,0.7030926479995312
604,9.0,6.0,20,0.5627534869533424
605,1.0,5.0,30,1.3365555788444965
606,0.0,4.0,10,0.2812494222235875
607,0.0,2.0,20,0.6329735152134397
609,0.0,1.0,15,0.3520973986998594
610,0.0,2.0,15,0.2818956560105929
611,2.0,4.0,20,2.8103231749626048
612,0.0,0.5,25,29.036454971617676
613,0.1,0.9,25,86.18821688650169
616,0.0,2.0,30,1.3349249118320063
618,2.0,4.0,15,0.8446724268775885
619,2.0,5.0,25,2.1073545465254746
620,3.0,0.3,10,0.6334790349284125
621,1.0,0.5,10,0.1412329445172737
622,1.0,3.0,30,0.2132501940978359
623,1.0,0.5,10,0.6329786880733321
624,0.6,10.0,20,1.4782903265328162
627,3.0,10.0,25,1.4056709489974546
628,0.0,1.0,35,0.7045669608142955
629,0.8,0.3,15,14.062085939744186
630,4.0,0.8,15,1.1940843311868488
631,4.0,2.0,35,0.7025426352122448
632,0.2,8.0,30,1.268046302255228
633,0.0,2.0,20,0.4223073139744686
634,5.0,0.5,30,1.1253644997711891
635,0.0,2.0,15,0.5625313738059639
638,0.0,1.0,10,0.2815832328867369
639,2.0,4.0,10,0.0712731207463663
640,1.0,0.5,30,0.072617375682876
641,0.9,3.0,35,1.9008529447278717
643,0.6,10.0,20,1.4755376301004297
644,0.0,2.0,30,0.9151545066988912
645,3.0,2.0,15,1.0553948140965446
646,1.0,0.5,20,1.4048188604998142
647,0.0,2.0,15,0.0715893765983883
648,1.0,0.5,30,1.5494958026671837
649,3.0,1.0,30,7.02702188430419
650,0.5,10.0,25,0.2128002770164863
651,0.0,2.0,35,1.6880731208227324
652,0.01,5.0,10,0.5634326120883442
653,0.2,3.0,35,1.6159878429793275
654,0.0,1.0,35,1.7592048854333404
655,4.0,2.0,20,44.15004501730704
656,0.7,0.5,30,6.675379821222616
657,0.4,0.8,25,2.388465929151306
658,0.7,4.0,15,4.220133176244382
659,0.0,1.0,20,0.4926044775841305
660,1.0,3.0,15,0.2115465191808629
661,8.0,0.5,20,0.0003146140629262
662,0.5,0.7,15,1.759443920743407
663,2.0,7.0,15,1.3368020868556787
665,0.5,8.0,20,0.9152632423780044
666,2.0,4.0,20,1.9673349267555589
667,2.0,0.1,20,6.258961398571818
669,3.0,7.0,15,1.8978017399670284
670,2.0,4.0,25,0.6347100816368547
671,0.6,9.0,25,0.7744312181706583
672,0.0,9.0,10,0.7748028349832756
674,2.0,4.0,35,5.275053090734524
675,0.2,8.0,30,0.6349173307596203
676,10.0,0.5,30,0.6334147705007922
678,1.0,0.5,35,0.8457865704824048
679,0.0,2.0,30,0.9156339114657052
680,0.1,0.5,15,0.9852094008147292
681,0.9,0.1,30,12.306684306253327
682,4.0,0.4,35,2.112787611316268
683,6.0,4.0,15,0.7743938979155693
684,3.0,2.0,10,2.0398507654499207
685,0.4,2.0,15,2.3882625469832623
686,0.0,2.0,20,2.2495604424268203
687,1.0,3.0,30,0.4932394402905959
688,2.0,4.0,20,0.0012894819177144
690,0.0,2.0,30,2.1801532950529703
691,3.0,0.4,35,1.966933766747001
692,5.0,2.0,15,2.037659125202162
694,0.0,3.0,20,0.3521781247932596
695,2.0,0.5,20,0.2830245963316606
696,7.0,0.5,15,0.1412893159581205
697,0.0,2.0,25,0.7748675862605721
698,1.0,0.5,25,0.4924880582903324
699,1.0,3.0,10,2.673124238410507
700,2.0,4.0,30,3.587667185979867
701,0.5,0.5,15,3.8648764949980974
702,2.0,4.0,20,1.123961587572902
703,2.0,4.0,20,0.7028496509750797
704,0.2,10.0,30,0.4948982566301625
705,0.9,3.0,25,3.588325385174004
706,1.0,0.5,25,0.140637885796691
707,1.0,3.0,15,0.3530151078676882
709,0.1,9.0,20,2.390231448527457
712,0.0,1.0,10,1.1246052448378117
713,0.2,1.0,10,1.126174195391708
714,1.0,3.0,30,0.4935481959898524
715,0.0,2.0,35,1.4757160046082616
717,0.0,1.0,25,0.4931953470595887
719,0.0,2.0,35,0.7726088329417813
720,2.0,9.0,30,1.126085297821004
721,0.0,1.0,20,0.6323858911892994
722,2.0,4.0,15,0.2121815600298831
723,4.0,10.0,25,1.4086096999999542
725,4.0,0.9,35,0.7043971954405421
727,1.0,0.9,25,1.6196517030548216
728,0.0,10.0,15,2.3893285795159827
729,0.5,0.8,20,6.329844458803047
730,7.0,0.5,15,1.1239680930814515
731,0.5,2.0,30,7.666213853969022
733,0.8,8.0,20,2.53363362380438
734,0.0,2.0,30,1.6889919118319892
735,4.0,1.0,25,3.090325097598061
736,2.0,4.0,20,0.4926187031769427
737,0.0,4.0,30,1.2665898859980818
738,0.0,3.0,30,0.8435921340982855
739,0.0,1.0,30,0.7042730451980459
740,1.0,3.0,20,0.9844572112948704
741,0.0,4.0,25,0.6332684708090195
742,0.6,8.0,20,1.196385761503942
743,0.4,8.0,35,1.1258679302346677
744,2.0,4.0,30,2.6031057918484803
745,0.5,9.0,15,1.1954037408062463
747,0.5,0.6,20,2.7436917844630617
748,0.0,1.0,35,4.361182807779238
749,0.4,3.0,15,4.989792613925543
751,1.0,0.5,30,1.4788465737785614
752,3.0,2.0,35,2.674666924207205
753,1.0,0.5,35,2.810400483062262
754,1.0,3.0,10,0.913642018921502
755,1.0,3.0,15,1.3371699160435415
756,0.2,6.0,10,0.4931935418560931
757,3.0,6.0,15,0.2120342258675105
758,0.3,0.3,25,56.87691810022595
759,0.0,1.0,25,1.1961981541641338
760,0.0,1.0,35,1.408853649677905
761,1.0,3.0,15,0.7049235990325782
762,0.0,3.0,10,0.2117588814049824
763,0.5,8.0,15,1.2657624504531944
764,4.0,9.0,20,0.3514715851008647
765,0.9,0.8,30,2.533627763710326
768,0.0,2.0,15,0.3524651913815448
769,1.0,0.5,20,0.2821345001068591
770,0.1,0.9,35,4.567662767134525
771,3.0,1.0,20,0.4932460949125765
774,0.0,2.0,25,1.2668098900111495
775,0.9,0.2,30,11.463070777407
776,0.9,0.6,25,1.757642951734974
777,4.0,0.9,10,1.4054321446852898
778,0.0,2.0,30,0.6344077221899598
779,1.0,0.5,35,0.6354057647023748
780,1.0,0.5,15,0.4221319904324412
781,0.3,5.0,30,0.7742599218421526
782,2.0,4.0,15,0.1416168610492416
783,0.0,1.0,35,0.5628223893488729
785,5.0,9.0,35,2.247776090334895
786,0.0,1.0,35,0.775730871089845
787,1.0,0.5,25,0.2126433736685911
788,0.7,0.9,15,10.262232529666967
791,2.0,4.0,30,0.98590838029107
792,1.0,0.5,35,1.1280971595506433
793,1.0,0.5,35,0.0037823937802841
795,1.0,0.5,35,0.1413285635852696
796,0.0,3.0,15,0.5631935659504164
797,5.0,2.0,35,0.7037980403149255
798,0.7,0.9,15,7.945729781166948
799,0.6,0.4,35,16.940978738911085
801,0.7,6.0,20,1.5459297601244613
802,0.3,0.4,15,7.310171756093043
803,4.0,0.8,30,1.3352351513413137
804,0.0,2.0,20,0.6337776686605032
806,0.0,2.0,35,1.407378289529083
807,9.0,1.0,20,0.2811908507034424
808,0.0,1.0,35,3.235151986876974
809,0.5,0.1,30,3.587153310144206
810,1.0,0.5,25,0.8436027632374588
811,1.0,0.5,25,0.4932673531906779
812,0.9,0.5,10,2.602652309323285
813,0.0,2.0,15,2.9520265022736023
814,3.0,10.0,30,4.497204078630893
815,0.0,2.0,25,1.0554324489271805
817,6.0,0.6,15,0.4221464524521181
818,0.7,10.0,35,1.1971683963407598
821,0.6,10.0,15,0.4222426588030306
822,0.3,3.0,15,0.6339999982298874
823,0.0,2.0,25,0.5632549828790818
824,1.0,0.5,20,0.5621873467269021
825,6.0,0.7,35,1.6850429671010545
826,0.8,3.0,10,1.4066145039521682
827,3.0,3.0,35,1.757985276924965
828,0.7,2.0,20,1.2659082900449148
829,1.0,0.5,15,0.63352551898251
830,1.0,3.0,15,1.0539717761162102
831,1.0,3.0,15,0.1410127477492189
832,0.0,4.0,10,0.1414353084047341
833,0.0,2.0,20,0.2817523618273903
834,0.0,1.0,15,0.3529630181889436
